count,label,property,wikidata
285,"Glottolog code",http://www.wikidata.org/entity/P1394,http://www.wikidata.org/entity/Q17165062
731403,"GeoNames ID",http://www.wikidata.org/entity/P1566,http://www.wikidata.org/entity/Q830106
315,"Hornbostel-Sachs classification",http://www.wikidata.org/entity/P1762,http://www.wikidata.org/entity/Q496327
157,"ISCO occupation code",http://www.wikidata.org/entity/P952,http://www.wikidata.org/entity/Q1233766
7,"Chinese Library Classification",http://www.wikidata.org/entity/P1189,http://www.wikidata.org/entity/Q5100524
253889,"World Register of Marine Species identifier",http://www.wikidata.org/entity/P850,http://www.wikidata.org/entity/Q604063
396165,"GND identifier",http://www.wikidata.org/entity/P227,http://www.wikidata.org/entity/Q36578
6773,"Disease Ontology ID",http://www.wikidata.org/entity/P699,http://www.wikidata.org/entity/Q5282129
3261,"Foundational Model of Anatomy ID",http://www.wikidata.org/entity/P1402,http://www.wikidata.org/entity/Q1406710
4312,"ChEBI ID",http://www.wikidata.org/entity/P683,http://www.wikidata.org/entity/Q902623
5,"ICPC 2 ID",http://www.wikidata.org/entity/P667,http://www.wikidata.org/entity/Q723530
76,"SOC Occupation Code (2010)",http://www.wikidata.org/entity/P919,http://www.wikidata.org/entity/Q7598269
67,"Regensburg Classification",http://www.wikidata.org/entity/P1150,http://www.wikidata.org/entity/Q2137453
45,"NLM Unique ID",http://www.wikidata.org/entity/P1055,http://www.wikidata.org/entity/Q986957
1,"United Nations Standard Products and Services Code",http://www.wikidata.org/entity/P2167,http://www.wikidata.org/entity/Q1361569
88,"Universal Decimal Classification",http://www.wikidata.org/entity/P1190,http://www.wikidata.org/entity/Q243350
1,"ACM Classification Code (2012)",http://www.wikidata.org/entity/P2179,http://www.wikidata.org/entity/Q288530
2,"operations and procedures key (OPS)",http://www.wikidata.org/entity/P1691,http://www.wikidata.org/entity/Q2026515
1559,"ATC code",http://www.wikidata.org/entity/P267,http://www.wikidata.org/entity/Q192093
5833,ICD-10,http://www.wikidata.org/entity/P494,http://www.wikidata.org/entity/Q50018
323,ICD-O,http://www.wikidata.org/entity/P563,http://www.wikidata.org/entity/Q1430635
396165,"GND identifier",http://www.wikidata.org/entity/P227,http://www.wikidata.org/entity/Q36578
4502,"MeSH ID",http://www.wikidata.org/entity/P486,http://www.wikidata.org/entity/Q199897
13581,"MSW identifier",http://www.wikidata.org/entity/P959,http://www.wikidata.org/entity/Q1538807
23,"Classification of Instructional Programs code",http://www.wikidata.org/entity/P2357,http://www.wikidata.org/entity/Q5128393
3748,"Dewey Decimal Classification",http://www.wikidata.org/entity/P1036,http://www.wikidata.org/entity/Q48460
53647,"ULAN identifier",http://www.wikidata.org/entity/P245,http://www.wikidata.org/entity/Q2494649
4351,"TGN identifier",http://www.wikidata.org/entity/P1667,http://www.wikidata.org/entity/Q1520117
113,"CONA  identifier",http://www.wikidata.org/entity/P1669,http://www.wikidata.org/entity/Q11409212
5412,"AAT identifier",http://www.wikidata.org/entity/P1014,http://www.wikidata.org/entity/Q611299
